"Target","Cq","SQ"
"N1",25.14884567,4000
"N1",24.80109024,4000
"N1",24.78022957,4000
"N1",28.58268738,400
"N1",27.54624748,400
"N1",30.47072792,40
"N1",29.86028481,40
"N1",29.93845749,40
"N1",34.73876572,4
"N1",34.71945953,4
"N1",34.01695251,4
"N1",33.82112122,4
"N2",24.41595459,4000
"N2",26.11258888,4000
"N2",25.87444305,4000
"N2",26.12845421,4000
"N2",25.14290428,4000
"N2",25.15670586,4000
"N2",25.14249039,4000
"N2",28.41205597,400
"N2",28.7736454,400
"N2",28.95523834,400
"N2",28.71914291,400
"N2",28.7283268,400
"N2",28.68551254,400
"N2",24.09982109,40
"N2",24.13872337,40
"N2",24.1144352,40
"N2",30.52627754,40
"N2",30.67080307,40
"N2",30.64889908,40
"N2",32.01721954,40
"N2",32.30242157,40
"N2",32.18634033,40
"N2",27.70213318,4
"N2",34.16982651,4
"N2",34.67300415,4
"N2",33.91630554,4
"N2",35.88536072,4
"N2",35.51039124,4
"N2",35.52253342,4
"N2",35.96061325,4
