sample_date,collection_num,sample_id,target,ct,slope ,y-intercept,copy_num_uL_rxn,cg_num
7/14/2020,7,MI_7_B,BCoV,32.51549149,-3.1035,33.9,2.79E+00,2
7/14/2020,7,MI_7_B,BCoV,32.9209938,-3.1035,33.9,2.07E+00,2
7/14/2020,7,MI_7_B,BCoV,32.94132614,-3.1035,33.9,2.04E+00,2
7/14/2020,7,NO_7_B,BCoV,33.49468613,-3.1035,33.9,1.35E+00,2
7/14/2020,7,NO_7_B,BCoV,33.49892807,-3.1035,33.9,1.35E+00,2
7/14/2020,9,MI_9_B,BCoV,32.41246414,-3.1035,33.9,3.02E+00,2
7/14/2020,9,MI_9_B,BCoV,32.45368958,-3.1035,33.9,2.92E+00,2
7/14/2020,9,MI_9_B,BCoV,32.51529312,-3.1035,33.9,2.79E+00,2
7/14/2020,9,NO_9_B,BCoV,32.21733475,-3.1035,33.9,3.48E+00,2
7/14/2020,9,NO_9_B,BCoV,32.41424942,-3.1035,33.9,3.01E+00,2
7/14/2020,9,NO_9_B,BCoV,32.36301422,-3.1035,33.9,3.13E+00,2
7/14/2020,5,MI_5_B,BCoV,33.13116837,-3.1035,33.9,1.77E+00,2
7/14/2020,5,MI_5_B,BCoV,33.35368729,-3.1035,33.9,1.50E+00,2
7/14/2020,5,MI_5_B,BCoV,33.13378143,-3.1035,33.9,1.77E+00,2
7/14/2020,5,NO_5_B,BCoV,33.00119781,-3.1035,33.9,1.95E+00,2
7/14/2020,5,NO_5_B,BCoV,33.45264053,-3.1035,33.9,1.39E+00,2
7/14/2020,5,NO_5_B,BCoV,33.42800522,-3.1035,33.9,1.42E+00,2
7/21/2020,10,MI_10_B,BCoV,31.64354706,-3.238,30.7,5.11E-01,3_A
7/21/2020,10,MI_10_B,BCoV,31.64497757,-3.238,30.7,5.11E-01,3_A
7/21/2020,10,NO_10_B,BCoV,32.61587143,-3.238,30.7,2.56E-01,3_A
7/21/2020,10,NO_10_B,BCoV,31.60910797,-3.238,30.7,5.24E-01,3_A
7/28/2020,11,MI_11_B,BCoV,30.78951645,-3.7797,36.753,3.78E+01,3_B
7/28/2020,11,MI_11_B,BCoV,30.74340439,-3.7797,36.753,3.89E+01,3_B
7/28/2020,11,MI_11_B,BCoV,30.70985031,-3.7797,36.753,3.97E+01,3_B
7/28/2020,11,NO_11_B,BCoV,32.9789772,-3.7797,36.753,9.97E+00,3_B
7/28/2020,11,NO_11_B,BCoV,32.11437607,-3.7797,36.753,1.69E+01,3_B
7/28/2020,11,NO_11_B,BCoV,32.1146698,-3.7797,36.753,1.69E+01,3_B
8/4/2020,12,MI_12_B,BCoV,33.35448837,-3.3159,34.795,2.72E+00,3_B
8/4/2020,12,MI_12_B,BCoV,33.13856125,-3.3159,34.795,3.16E+00,3_B
8/4/2020,12,MI_12_B,BCoV,32.8766098,-3.3159,34.795,3.79E+00,3_B
8/4/2020,12,NO_12_B,BCoV,32.31215668,-3.3159,34.795,5.61E+00,3_B
8/4/2020,12,NO_12_B,BCoV,32.48841858,-3.3159,34.795,4.96E+00,3_B
8/4/2020,12,NO_12_B,BCoV,32.53013611,-3.3159,34.795,4.82E+00,3_B
8/11/2020,13,MI_13_B,BCoV,32.99681091,-3.3159,34.795,3.49E+00,4_A
8/11/2020,13,MI_13_B,BCoV,33.78587723,-3.3159,34.795,2.02E+00,4_A
8/11/2020,13,MI_13_B,BCoV,33.35672379,-3.3159,34.795,2.71E+00,4_A
8/11/2020,13,NO_13_B,BCoV,33.84821701,-3.3159,34.795,1.93E+00,4_A
8/11/2020,13,NO_13_B,BCoV,33.21345139,-3.3159,34.795,3.00E+00,4_A
8/11/2020,13,NO_13_B,BCoV,32.96680832,-3.3159,34.795,3.56E+00,4_A
8/18/2020,14,MI_14_B,BCoV,31.96832275,-3.1634,32.95,2.04E+00,4_B
8/18/2020,14,MI_14_B,BCoV,32.10588074,-3.1634,32.95,1.85E+00,4_B
8/18/2020,14,MI_14_B,BCoV,32.13446426,-3.1634,32.95,1.81E+00,4_B
8/18/2020,14,NO_14_B,BCoV,32.33191299,-3.1634,32.95,1.57E+00,4_B
8/18/2020,14,NO_14_B,BCoV,32.8591156,-3.1634,32.95,1.07E+00,4_B
8/18/2020,14,NO_14_B,BCoV,32.80900192,-3.1634,32.95,1.11E+00,4_B
8/25/2020,15,MI_15_B,BCoV,33.36381912,-3.5335,36.412,7.29E+00,4_B
8/25/2020,15,MI_15_B,BCoV,33.36381912,-3.5335,36.412,7.29E+00,4_B
8/25/2020,15,MI_15_B,BCoV,33.36381912,-3.5335,36.412,7.29E+00,4_B
8/25/2020,15,NO_15_B,BCoV,32.15068054,-3.5335,36.412,1.61E+01,4_B
8/25/2020,15,NO_15_B,BCoV,32.15068054,-3.5335,36.412,1.61E+01,4_B
8/25/2020,15,NO_15_B,BCoV,32.15068054,-3.5335,36.412,1.61E+01,4_B
9/1/2020,16,MI_16_B,BCoV,35.66159058,-3.308,35.473,8.77E-01,5_A
9/1/2020,16,MI_16_B,BCoV,35.47550201,-3.308,35.473,9.98E-01,5_A
9/1/2020,16,NO_16_B,BCoV,33.97371292,-3.308,35.473,2.84E+00,5_A
9/1/2020,16,NO_16_B,BCoV,33.83601379,-3.308,35.473,3.13E+00,5_A
9/1/2020,16,NO_16_B,BCoV,34.59298325,-3.308,35.473,1.85E+00,5_A
9/8/2020,17,MI_17_B,BCoV,34.6544075,-3.4576,36.328,3.05E+00,5_A
9/8/2020,17,MI_17_B,BCoV,32.07260513,-3.4576,36.328,1.70E+01,5_A
9/8/2020,17,MI_17_B,BCoV,32.04586792,-3.4576,36.328,1.73E+01,5_A
9/8/2020,17,NO_17_B,BCoV,34.41693878,-3.4576,36.328,3.57E+00,5_A
9/8/2020,17,NO_17_B,BCoV,32.97190857,-3.4576,36.328,9.35E+00,5_A
9/8/2020,17,NO_17_B,BCoV,32.2094841,-3.4576,36.328,1.55E+01,5_A
9/15/2020,18,MI_18_B,BCoV,32.82718658,-4.1286,37.752,1.56E+01,5_B
9/15/2020,18,MI_18_B,BCoV,32.94857407,-4.1286,37.752,1.46E+01,5_B
9/15/2020,18,MI_18_B,BCoV,35.96318054,-4.1286,37.752,2.71E+00,5_B
9/15/2020,18,NO_18_B,BCoV,31.51800346,-4.1286,37.752,3.24E+01,5_B
9/15/2020,18,NO_18_B,BCoV,31.74604607,-4.1286,37.752,2.85E+01,5_B
9/15/2020,18,NO_18_B,BCoV,33.56336594,-4.1286,37.752,1.03E+01,5_B
9/22/2020,19,MI_19_B,BCoV,33.45943069,-3.6758,35.269,3.11E+00,6
9/22/2020,19,MI_19_B,BCoV,33.06619263,-3.6758,35.269,3.97E+00,6
9/22/2020,19,MI_19_B,BCoV,32.69310379,-3.6758,35.269,5.02E+00,6
9/22/2020,19,NO_19_B,BCoV,32.06352615,-3.6758,35.269,7.45E+00,6
9/22/2020,19,NO_19_B,BCoV,32.21579742,-3.6758,35.269,6.77E+00,6
9/22/2020,19,NO_19_B,BCoV,32.06280136,-3.6758,35.269,7.45E+00,6
10/13/2020,22,NO_22_B,BCoV,32.11224365,-3.5032,35.762,1.10E+01,7
10/13/2020,22,NO_22_B,BCoV,31.56403732,-3.5032,35.762,1.58E+01,7
10/13/2020,22,NO_22_B,BCoV,30.14231491,-3.5032,35.762,4.02E+01,7
10/13/2020,22,MI_22_B,BCoV,32.27950668,-3.5032,35.762,9.86E+00,7
10/13/2020,22,MI_22_B,BCoV,31.2381916,-3.5032,35.762,1.96E+01,7
10/13/2020,22,MI_22_B,BCoV,30.78242111,-3.5032,35.762,2.64E+01,7
10/13/2020,22,CC_22_B,BCoV,36.88879395,-3.5032,35.762,4.77E-01,7
10/13/2020,22,CC_22_B,BCoV,37.67348862,-3.5032,35.762,2.85E-01,7
10/13/2020,22,CC_22_B,BCoV,31.3258152,-3.5032,35.762,1.85E+01,7
9/29/2020,20,MI_20_B,BCoV,33.72975922,-3.6783,38.949,2.62E+01,6
9/29/2020,20,MI_20_B,BCoV,32.80657959,-3.6783,38.949,4.68E+01,6
9/29/2020,20,MI_20_B,BCoV,31.56552887,-3.6783,38.949,1.02E+02,6
9/29/2020,20,NO_20_B,BCoV,33.29678726,-3.6783,38.949,3.44E+01,6
9/29/2020,20,NO_20_B,BCoV,32.54736328,-3.6783,38.949,5.50E+01,6
9/29/2020,20,NO_20_B,BCoV,32.39264679,-3.6783,38.949,6.06E+01,6
9/29/2020,20,CC_20_B,BCoV,33.22704697,-3.6783,38.949,3.59E+01,6
9/29/2020,20,CC_20_B,BCoV,32.55289459,-3.6783,38.949,5.48E+01,6
9/29/2020,20,CC_20_B,BCoV,32.48037338,-3.6783,38.949,5.74E+01,6
10/6/2020,21,MI_21_B,BCoV,31.96298027,-3.1219,39.643,2.88E+02,6
10/6/2020,21,MI_21_B,BCoV,32.47602844,-3.1219,39.643,1.98E+02,6
10/6/2020,21,MI_21_B,BCoV,32.28853226,-3.1219,39.643,2.27E+02,6
10/6/2020,21,NO_21_B,BCoV,32.52219772,-3.1219,39.643,1.91E+02,6
10/6/2020,21,NO_21_B,BCoV,33.27449799,-3.1219,39.643,1.10E+02,6
10/6/2020,21,NO_21_B,BCoV,33.10398865,-3.1219,39.643,1.24E+02,6
10/6/2020,21,CC_21_B,BCoV,35.02671814,-3.1219,39.643,3.01E+01,6
10/6/2020,21,CC_21_B,BCoV,35.98779297,-3.1219,39.643,1.48E+01,6
10/6/2020,21,CC_21_B,BCoV,35.74369049,-3.1219,39.643,1.77E+01,6
