sample,target,copies_ul_rxn
ZYMO_DIRECT_A,BCoV,8.24E+02
ZYMO_DIRECT_A,BCoV,7.60E+02
ZYMO_DIRECT_A,BCoV,8.81E+02
DIRECT_C,BCoV,7.25E+02
DIRECT_C,BCoV,7.64E+02
DIRECT_C,BCoV,1.19E+03
ZYMO_DIRECT_B,BCoV,9.09E+02
ZYMO_DIRECT_B,BCoV,6.71E+02
ZYMO_DIRECT_B,BCoV,6.86E+02
SKIM_MILK_A,BCoV,6.65E+02
SKIM_MILK_A,BCoV,2.84E+02
SKIM_MILK_A,BCoV,4.92E+02
ZYMO_CONC_A,BCoV,1.38E+04
ZYMO_CONC_A,BCoV,1.06E+04
ZYMO_CONC_A,BCoV,1.19E+04
SKIM_MILK_B,BCoV,8.44E+02
SKIM_MILK_B,BCoV,6.75E+02
SKIM_MILK_B,BCoV,9.15E+02
ZYMO_CON_B,BCoV,1.98E+04
ZYMO_CON_B,BCoV,1.37E+04
ZYMO_CON_B,BCoV,1.53E+04
CENTRIPREP_A,BCoV,1.74E+03
CENTRIPREP_A,BCoV,1.54E+03
CENTRIPREP_A,BCoV,1.78E+03
HA_A,BCoV,5.27E+02
HA_A,BCoV,5.46E+02
HA_A,BCoV,5.62E+02
CENTRIPREP_B,BCoV,1.41E+03
CENTRIPREP_B,BCoV,1.11E+03
CENTRIPREP_B,BCoV,1.16E+03
HA_B,BCoV,5.61E+02
HA_B,BCoV,5.14E+02
HA_B,BCoV,5.10E+02
CG,BCoV,3.77E+05
CG,BCoV,2.92E+05
CG,BCoV,3.02E+05
DIRECT_A,BCoV,8.47E+02
DIRECT_A,BCoV,6.32E+02
DIRECT_A,BCoV,6.63E+02
DIRECT_B,BCoV,1.14E+03
DIRECT_B,BCoV,1.03E+03
DIRECT_B,BCoV,1.00E+03
ZYMO_DIRECT_A,N1,2.00E-04
ZYMO_DIRECT_A,N1,2.00E-04
ZYMO_DIRECT_A,N1,2.00E-04
DIRECT_C,N1,2.00E-04
DIRECT_C,N1,2.00E-04
DIRECT_C,N1,2.00E-04
ZYMO_DIRECT_B,N1,2.00E-04
ZYMO_DIRECT_B,N1,2.00E-04
ZYMO_DIRECT_B,N1,2.00E-04
SKIM_MILK_A,N1,2.00E-04
SKIM_MILK_A,N1,2.00E-04
SKIM_MILK_A,N1,1.264075637
ZYMO_CONC_A,N1,0.511978149
ZYMO_CONC_A,N1,0.758584559
ZYMO_CONC_A,N1,0.631265104
SKIM_MILK_B,N1,0.368915498
SKIM_MILK_B,N1,2.00E-04
SKIM_MILK_B,N1,0.524054766
ZYMO_CON_B,N1,0.766724885
ZYMO_CON_B,N1,2.00E-04
ZYMO_CON_B,N1,3.244950533
CENTRIPREP_A,N1,2.00E-04
CENTRIPREP_A,N1,2.00E-04
CENTRIPREP_A,N1,2.00E-04
HA_A,N1,2.00E-04
HA_A,N1,2.00E-04
HA_A,N1,0.757531643
CENTRIPREP_B,N1,2.00E-04
CENTRIPREP_B,N1,2.00E-04
CENTRIPREP_B,N1,0.30183357
HA_B,N1,2.00E-04
HA_B,N1,2.00E-04
HA_B,N1,2.00E-04
CG,N1,2.00E-04
CG,N1,2.00E-04
CG,N1,2.00E-04
DIRECT_A,N1,0.554756939
DIRECT_A,N1,2.00E-04
DIRECT_A,N1,0.646379888
DIRECT_B,N1,2.00E-04
DIRECT_B,N1,2.00E-04
DIRECT_B,N1,2.00E-04
