date,wrf,collection_num,target,pos_neg
7/21/2020,CC,10,N1,pos
7/21/2020,CC,10,N2,pos
7/28/2020,CC,11,N1,pos
7/28/2020,CC,11,N2,pos
8/4/2020,CC,12,N1,neg
8/4/2020,CC,12,N2,neg
8/11/2020,CC,13,N1,pos
8/11/2020,CC,13,N2,neg
8/18/2020,CC,14,N1,pos
8/18/2020,CC,14,N2,pos
8/25/2020,CC,15,N1,pos
8/25/2020,CC,15,N2,pos
9/1/2020,CC,16,N1,neg
9/1/2020,CC,16,N2,pos
9/8/2020,CC,17,N1,pos
9/8/2020,CC,17,N2,pos
9/15/2020,CC,18,N1,pos
9/15/2020,CC,18,N2,pos
9/22/2020,CC,19,N1,pos
9/22/2020,CC,19,N2,neg
9/29/2020,CC,20,N1,neg
9/29/2020,CC,20,N2,neg
10/6/2020,CC,21,N1,neg
10/6/2020,CC,21,N2,pos
10/13/2020,CC,22,N1,neg
10/13/2020,CC,22,N2,neg
10/20/2020,CC,23,N1,neg
10/20/2020,CC,23,N2,neg
7/7/2020,CC,8,N1,pos
7/7/2020,CC,8,N2,pos
7/21/2020,MI,10,N1,pos
7/21/2020,MI,10,N2,pos
7/28/2020,MI,11,N1,pos
7/28/2020,MI,11,N2,pos
8/4/2020,MI,12,N1,neg
8/4/2020,MI,12,N2,neg
8/11/2020,MI,13,N1,neg
8/11/2020,MI,13,N2,neg
8/18/2020,MI,14,N1,pos
8/18/2020,MI,14,N2,pos
8/25/2020,MI,15,N1,pos
8/25/2020,MI,15,N2,pos
9/1/2020,MI,16,N1,pos
9/1/2020,MI,16,N2,pos
9/8/2020,MI,17,N1,pos
9/8/2020,MI,17,N2,pos
9/15/2020,MI,18,N1,pos
9/15/2020,MI,18,N2,pos
9/22/2020,MI,19,N1,pos
9/22/2020,MI,19,N2,pos
9/29/2020,MI,20,N1,pos
9/29/2020,MI,20,N2,pos
10/6/2020,MI,21,N1,pos
10/6/2020,MI,21,N2,neg
10/13/2020,MI,22,N1,neg
10/13/2020,MI,22,N2,neg
10/20/2020,MI,23,N1,pos
10/20/2020,MI,23,N2,pos
6/16/2020,MI,5,N1,neg
6/16/2020,MI,5,N2,neg
6/23/2020,MI,6,N1,neg
6/23/2020,MI,6,N2,neg
6/30/2020,MI,7,N1,pos
6/30/2020,MI,7,N2,pos
7/7/2020,MI,8,N1,pos
7/7/2020,MI,8,N2,neg
7/14/2020,MI,9,N1,neg
7/14/2020,MI,9,N2,pos
7/21/2020,NO,10,N1,neg
7/21/2020,NO,10,N2,pos
7/28/2020,NO,11,N1,pos
7/28/2020,NO,11,N2,pos
8/4/2020,NO,12,N1,neg
8/4/2020,NO,12,N2,pos
8/11/2020,NO,13,N1,pos
8/11/2020,NO,13,N2,pos
8/18/2020,NO,14,N1,pos
8/18/2020,NO,14,N2,pos
8/25/2020,NO,15,N1,pos
8/25/2020,NO,15,N2,pos
9/1/2020,NO,16,N1,pos
9/1/2020,NO,16,N2,pos
9/8/2020,NO,17,N1,pos
9/8/2020,NO,17,N2,pos
9/15/2020,NO,18,N1,pos
9/15/2020,NO,18,N2,pos
9/22/2020,NO,19,N1,pos
9/22/2020,NO,19,N2,pos
9/29/2020,NO,20,N1,neg
9/29/2020,NO,20,N2,neg
10/6/2020,NO,21,N1,neg
10/6/2020,NO,21,N2,pos
10/13/2020,NO,22,N1,pos
10/13/2020,NO,22,N2,pos
10/20/2020,NO,23,N1,pos
10/20/2020,NO,23,N2,pos
6/16/2020,NO,5,N1,neg
6/16/2020,NO,5,N2,neg
6/23/2020,NO,6,N1,neg
6/23/2020,NO,6,N2,neg
6/30/2020,NO,7,N1,pos
6/30/2020,NO,7,N2,pos
7/7/2020,NO,8,N1,neg
7/7/2020,NO,8,N2,pos
7/14/2020,NO,9,N1,pos
7/14/2020,NO,9,N2,pos
